Company Registration Number, Company Name, Company Country, Year founded, E-mail address, Contact name, Last order, Number of Employees, Average Annual Order ,VAT Registered, Average turnover, Number of staff, Area of Sales
272,     NSTAR, Gambia, 2001, Autom@ssi.com, Pauline, 18867736.000000, 94, 126350.000000, Yes, Less than 1M EURO, Less than 10, Other Area
729,     CDI Corp., Bahamas, 2014, Oxfor@Inc.com, Debra, 18586248.000000, 83, 148758.000000, No, Less than 10M EURO, Less than 100, Medical Devices
641,     Coca-Cola Co., Gambia, 1986, Gente@nca.com, Roberta, 3810522.000000, 128, 312918.000000, No, Over 10M EURO, Over 100, ICT
462,     Consolidated Freightway, Indonesia, 1986, Centu@nca.com, Betsy, 9456226.000000, 112, 335930.000000, Yes, Less than 1M EURO, Less than 10, Other Area
819,     Longs Drug Stores Corpo, Armenia, 2004, AonC@ion.com, Tanhya, 8453525.000000, 18, 336757.000000, Yes, Over 10M EURO, Less than 100, Medical Devices
25,     CNF Inc., Canada, 2002, Norte@Inc.com, Kerrin, 2066827.000000, 4, 479842.000000, Yes, Less than 1M EURO, Over 100, ICT
680,     D&K Healthcare Resource, Zambia, 1992, Kellw@any.com, Moina, 16284550.000000, 58, 485915.000000, No, Less than 1M EURO, Less than 10, Other Area
569,     NCR Corporation, Tonga, 1987, Gold@nca.com, Janine, 19083024.000000, 85, 764933.000000, Yes, Less than 1M EURO, Less than 100, Medical Devices
174,     Henry Schein Inc., Lithuania, 1986, Arkan@ati.com, Charmine, 11567493.000000, 81, 800667.000000, Yes, Less than 1M EURO, Over 100, ICT
541,     Belk Inc., Chile, 1996, Marsh@rpo.com, Lacy, 9980026.000000, 16, 1583797.000000, Yes, Over 10M EURO, Less than 10, Other Area
411,     DST Systems Inc., Tunisia, 2007, Ecola@nca.com, Kaitlin, 1903322.000000, 50, 1701608.000000, Yes, Less than 10M EURO, Less than 100, Medical Devices
806,     Halliburton Co., Argentina, 2000, Caden@ms.com, Kenna, 13870037.000000, 45, 2094335.000000, No, Over 10M EURO, Over 100, ICT
955,     Archer Daniels Midland, Guinea-Bissau, 2004, Arrow@nca.com, Mellisa, 13320301.000000, 41, 2288004.000000, No, Less than 10M EURO, Less than 10, Other Area
197,     DPL Inc., Lesotho, 2006, Genui@nca.com, Rosamond, 4714339.000000, 40, 2460979.000000, No, Over 10M EURO, Less than 100, Medical Devices
473,     NSTAR, Slovenia, 2018, MeadW@tio.com, Caitrin, 17736624.000000, 32, 2522069.000000, No, Over 10M EURO, Over 100, ICT
768,     Gemstar-TV Guide Intern, Palau, 1985, BB&T@ion.com, Cecily, 3871250.000000, 40, 3075808.000000, Yes, Less than 1M EURO, Less than 10, Other Area
602,     Arrow Electronics Inc., Mali, 2001, Mello@por.com, Delcine, 5712637.000000, 142, 3128249.000000, No, Over 10M EURO, Less than 100, Medical Devices
35,     Potomac Electric Power, Japan, 1992, Centu@nca.com, Dania, 6478947.000000, 79, 3254761.000000, Yes, Over 10M EURO, Over 100, ICT
779,     Foot Locker Inc, Sudan, 1997, McKes@ion.com, Randa, 14692681.000000, 9, 3271899.000000, Yes, Less than 10M EURO, Less than 10, Other Area
245,     AMR Corporation, Belarus, 2008, Hiber@rpa.com, Stesha, 19042994.000000, 9, 3331053.000000, No, Less than 1M EURO, Less than 100, Medical Devices
823,     Longs Drug Stores Corpo, Belize, 2021, Engel@ion.com, Brina, 11965881.000000, 112, 3463645.000000, No, Less than 10M EURO, Over 100, ICT
238,     Felcor Lodging Trust In, Tajikistan, 2021, EGLI@nca.com, Edin, 11572826.000000, 57, 3545188.000000, No, Less than 10M EURO, Less than 10, Other Area
770,     Granite Construction In, Austria, 1979, Kellw@any.com, Erica, 4131022.000000, 138, 3582030.000000, Yes, Less than 1M EURO, Less than 100, Medical Devices
675,     Baxter International In, South Sudan, 1981, Natio@rpa.com, Arlinda, 17972470.000000, 72, 3618547.000000, No, Less than 10M EURO, Over 100, ICT
186,     Ames Department Stores, India, 2000, Ameri@rpo.com, Sada, 12524272.000000, 149, 3849652.000000, Yes, Over 10M EURO, Less than 10, Other Area
394,     Lam Research Corporatio, Oman, 1998, Allme@Cor.com, Jaymee, 4436979.000000, 104, 3872791.000000, Yes, Less than 10M EURO, Less than 100, Medical Devices
47,     Gap Inc., Czech Republic, 2020, Fifth@orp.com, Kara, 12474476.000000, 124, 4550154.000000, Yes, Over 10M EURO, Over 100, ICT
96,     Dollar General Corporat, Thailand, 1990, Compu@rpa.com, Cathie, 4535904.000000, 149, 4565609.000000, Yes, Less than 10M EURO, Less than 10, Other Area
897,     La-Z-Boy Inc., Iraq, 1985, Fidel@nan.com, Eada, 18250924.000000, 87, 4699372.000000, Yes, Over 10M EURO, Less than 100, Medical Devices
848,     Charming Shoppes Inc., Palau, 1970, Pall@orp.com, Ivett, 17329192.000000, 86, 4855430.000000, Yes, Less than 10M EURO, Over 100, ICT
168,     DQE Inc., Nauru, 2020, AMRC@ion.com, Deerdre, 10195319.000000, 79, 4932178.000000, No, Less than 1M EURO, Less than 10, Other Area
463,     Oxford Health Plans Inc, New Zealand, 2022, Marri@al.com, Peggi, 14070512.000000, 150, 5025785.000000, Yes, Over 10M EURO, Less than 100, Medical Devices
771,     Eastman Chemical Compan, Latvia, 2017, Delux@ion.com, Celestyn, 19770156.000000, 102, 5098594.000000, Yes, Less than 10M EURO, Over 100, ICT
62,     General Motors Corporat, Nauru, 1987, Appli@nca.com, Teddie, 17500640.000000, 117, 5596335.000000, No, Less than 10M EURO, Less than 10, Other Area
870,     Pep Boys Manny Moe & J, Tajikistan, 2020, Aller@nca.com, Torrie, 12762024.000000, 18, 5816685.000000, No, Less than 1M EURO, Less than 100, Medical Devices
184,     Devon Energy Corporatio, Cape Verde, 1992, Mello@por.com, Daffi, 6220213.000000, 48, 5961203.000000, No, Less than 1M EURO, Over 100, ICT
338,     Hershey Foods Corp., Moldova, 1999, Healt@orp.com, Shawn, 19967740.000000, 99, 6029673.000000, Yes, Less than 10M EURO, Less than 10, Other Area
324,     Genesis Health Ventures, Luxembourg, 2019, Loews@ion.com, Eddi, 19063448.000000, 39, 6180331.000000, No, Over 10M EURO, Less than 100, Medical Devices
